data,id,command
2023-09-09-15-07,1295003264,/start
2023-09-09-15-07,1295003264,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-08,1295003264,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-08,123704982,⚡️Купить билеты
2023-09-09-15-11,644440906,Показать все локации
2023-09-09-15-11,644440906,Список локаций в 2ГИС
2023-09-09-15-11,644440906,Вернуться в главное меню
2023-09-09-15-11,644440906,/start
2023-09-09-15-11,644440906,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-11,644440906,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-11,644440906,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-11,721460459,/start
2023-09-09-15-12,721460459,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-14,644440906,Вернуться в главное меню
2023-09-09-15-15,273346070,Где купить мерч
2023-09-09-15-16,273346070,Открытие фестиваля
2023-09-09-15-16,124214479,Где купить мерч
2023-09-09-15-16,695845734,/start
2023-09-09-15-21,700087896,/start
2023-09-09-15-21,700087896,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-21,700087896,Бесплатные локации
2023-09-09-15-21,700087896,📍Локации фестиваля
2023-09-09-15-21,700087896,Показать все локации
2023-09-09-15-22,700087896,ℹ️ Информация о фестивале
2023-09-09-15-22,377834343,/start
2023-09-09-15-25,2138081328,/start
2023-09-09-15-25,2138081328,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-26,900297787,/start
2023-09-09-15-26,900297787,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-27,900297787,Бесплатные локации
2023-09-09-15-27,745401517,Список локаций в 2ГИС
2023-09-09-15-28,2138081328,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-28,2138081328,Бесплатные локации
2023-09-09-15-28,532548696,/start
2023-09-09-15-28,2138081328,Ночная программа
2023-09-09-15-29,745401517,Показать все локации
2023-09-09-15-34,695845734,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-35,420618235,/start
2023-09-09-15-35,420618235,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-35,420618235,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-38,388717961,/start
2023-09-09-15-38,388717961,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-39,388717961,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-39,388717961,Показать все локации
2023-09-09-15-39,543378527,/start
2023-09-09-15-39,543378527,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-39,859396553,/start
2023-09-09-15-39,859396553,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-40,773220993,/start
2023-09-09-15-41,793602020,Образовательная программа
2023-09-09-15-42,773220993,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-42,773220993,Показать все локации
2023-09-09-15-44,243394792,/start
2023-09-09-15-44,243394792,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-44,243394792,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-49,493595972,/start
2023-09-09-15-49,493595972,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-49,493595972,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-50,493595972,Показать все локации
2023-09-09-15-50,493595972,Список локаций в 2ГИС
2023-09-09-15-56,255431251,/start
2023-09-09-15-56,255431251,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-57,255431251,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-57,521240746,/start
2023-09-09-15-58,521240746,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-01,316377021,/start
2023-09-09-16-01,316377021,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-01,316377021,Список локаций в 2ГИС
2023-09-09-16-02,376200080,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-03,376200080,Список локаций в 2ГИС
2023-09-09-16-03,316377021,Показать все локации
2023-09-09-16-03,376200080,Бесплатные локации
2023-09-09-16-04,316377021,Список локаций в 2ГИС
2023-09-09-16-05,497886515,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-06,605175170,/start
2023-09-09-16-06,605175170,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-06,518047010,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-06,605175170,Ночная программа
2023-09-09-16-07,118223853,/start
2023-09-09-16-07,518047010,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-07,605175170,Показать все локации
2023-09-09-16-07,118223853,"В меню можете выбрать то, что вас интересует"
2023-09-09-16-07,118223853,Бесплатные локации
2023-09-09-16-07,518047010,Бесплатные локации
2023-09-09-16-07,176668569,/start
